datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2015-05-19,1431968400,98.6,82.4,88.9,109.1,90.8,99.9,76.0,67.2,0.257,100.0,66.67,['rain'],,,25.3,11.4,201.8,1008.0,50.4,6.5,225.9,19.6,7.0,05:30:28,1431988228,18:08:57,1432033737,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-20,1432054800,93.3,83.1,86.4,104.4,89.3,95.9,75.5,70.6,0.462,100.0,66.67,['rain'],,,,11.3,221.3,1008.9,54.9,5.9,190.1,16.5,6.0,05:30:19,1432074619,18:09:11,1432120151,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-21,1432141200,98.6,80.6,87.7,107.8,86.1,96.9,75.0,67.5,0.032,100.0,33.33,['rain'],,,21.9,13.4,214.1,1009.1,46.2,6.3,133.7,11.5,5.0,05:30:12,1432161012,18:09:25,1432206565,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-22,1432227600,94.3,80.6,85.5,106.4,87.1,94.7,75.7,73.4,0.028,100.0,29.17,['rain'],,,,13.5,237.2,1009.1,56.1,6.2,87.2,7.5,3.0,05:30:05,1432247405,18:09:40,1432292980,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-23,1432314000,93.5,78.8,86.5,103.2,78.8,93.6,74.4,69.0,0.004,100.0,4.17,['rain'],,,,13.8,255.0,1008.9,48.9,5.9,132.7,11.4,4.0,05:29:59,1432333799,18:09:55,1432379395,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-24,1432400400,95.0,78.8,86.8,105.1,78.8,94.3,74.4,68.1,0.0,0.0,0.0,,,,,11.4,252.7,1008.7,43.6,6.5,152.3,13.1,5.0,05:29:54,1432420194,18:10:10,1432465810,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-25,1432486800,97.9,81.3,86.1,107.6,88.1,94.4,74.8,70.3,1.654,100.0,4.17,['rain'],,,,15.2,228.7,1008.2,47.0,6.2,130.8,11.3,5.0,05:29:49,1432506589,18:10:26,1432552226,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-26,1432573200,92.1,80.4,85.5,102.7,85.3,92.7,73.9,69.3,0.008,100.0,4.17,['rain'],,,,16.3,241.2,1009.7,50.1,6.5,127.5,10.9,5.0,05:29:46,1432592986,18:10:41,1432638641,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-27,1432659600,96.8,78.8,87.2,103.2,78.8,93.2,72.5,63.3,0.04,100.0,41.67,['rain'],,,,12.2,241.9,1008.9,47.9,6.5,156.4,13.5,6.0,05:29:43,1432679383,18:10:57,1432725057,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-28,1432746000,97.1,78.8,86.0,106.2,78.8,93.3,74.1,69.4,1.071,100.0,4.17,['rain'],,,26.4,11.4,232.9,1007.5,42.6,6.0,201.6,17.6,7.0,05:29:41,1432765781,18:11:13,1432811473,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-29,1432832400,95.1,82.1,85.7,110.2,89.1,94.4,75.1,71.2,0.236,100.0,8.33,['rain'],,,,13.2,221.5,1008.3,57.0,6.3,205.0,17.8,7.0,05:29:39,1432852179,18:11:29,1432897889,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS', 'remote']",obs
2015-05-30,1432918800,93.9,77.0,84.2,106.0,77.0,91.0,74.8,74.2,0.176,100.0,45.83,['rain'],,,,11.4,232.6,1008.9,53.8,6.2,192.4,16.5,7.0,05:29:39,1432938579,18:11:45,1432984305,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-31,1433005200,94.6,77.0,85.2,105.4,77.0,92.0,74.6,72.0,0.012,100.0,12.5,['rain'],,,,8.1,227.2,1007.9,44.2,5.6,224.4,19.3,8.0,05:29:39,1433024979,18:12:02,1433070722,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
